Opt. Const. of AlignedPFO vs. nm,,,,,,
nm	"n	 Ex"	"k	 Ex"	"n	 Ey"	"k	 Ey"	"n	 Ez"	"k	 Ez"
616	1.585392	0	1.832101	0	1.586516	0
617	1.585231	0	1.831487	0	1.586377	0
618	1.585071	0	1.830873	0	1.58624	0
619	1.584912	0	1.830256	0	1.586103	0
620	1.584753	0	1.829635	0	1.585967	0
621	1.584592	0	1.829006	0	1.585832	0
622	1.584429	0	1.828367	0	1.585698	0
623	1.584263	0	1.827716	0	1.585564	0
624	1.584095	0	1.827054	0	1.585432	0
625	1.583923	0	1.826381	0	1.5853	0
626	1.58375	0	1.825699	0	1.585169	0
627	1.583574	0	1.825009	0	1.585039	0
628	1.583397	0	1.824312	0	1.58491	0
629	1.583218	0	1.823609	0	1.584781	0
630	1.583039	0	1.822902	0	1.584653	0
631	1.582858	0	1.822191	0	1.584526	0
632	1.582677	0	1.821478	0	1.5844	0
633	1.582496	0	1.820764	0	1.584274	0
634	1.582314	0	1.82005	0	1.584149	0
635	1.582133	0	1.819337	0	1.584025	0
