Opt. Const. of PFOGlassy0Vol% vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
743	1.64142	0	1.589462	0
744	1.641289	0	1.589366	0
745	1.641159	0	1.58927	0
746	1.64103	0	1.589175	0
747	1.640901	0	1.589079	0
748	1.640772	0	1.588984	0
749	1.640645	0	1.58889	0
750	1.640518	0	1.588795	0
751	1.640391	0	1.588701	0
752	1.640266	0	1.588608	0
753	1.640141	0	1.588514	0
754	1.640016	0	1.588421	0
755	1.639892	0	1.588328	0
756	1.639769	0	1.588235	0
757	1.639646	0	1.588143	0
758	1.639524	0	1.588051	0
759	1.639402	0	1.587959	0
760	1.639281	0	1.587867	0
761	1.63916	0	1.587776	0
762	1.63904	0	1.587685	0
763	1.638921	0	1.587594	0
764	1.638802	0	1.587504	0
765	1.638684	0	1.587413	0
766	1.638566	0	1.587323	0
767	1.638449	0	1.587234	0
768	1.638332	0	1.587144	0
769	1.638216	0	1.587055	0
770	1.6381	0	1.586966	0
771	1.637985	0	1.586877	0
772	1.637871	0	1.586788	0
773	1.637756	0	1.5867	0
774	1.637643	0	1.586612	0
775	1.63753	0	1.586524	0
776	1.637417	0	1.586437	0
777	1.637305	0	1.586349	0
778	1.637194	0	1.586262	0
779	1.637082	0	1.586175	0
780	1.636972	0	1.586088	0
781	1.636862	0	1.586002	0
782	1.636752	0	1.585916	0
783	1.636643	0	1.585829	0
784	1.636534	0	1.585744	0
785	1.636426	0	1.585658	0
786	1.636318	0	1.585573	0
787	1.636211	0	1.585487	0
788	1.636104	0	1.585402	0
789	1.635998	0	1.585318	0
790	1.635892	0	1.585233	0
791	1.635787	0	1.585149	0
792	1.635682	0	1.585064	0
793	1.635577	0	1.58498	0
794	1.635473	0	1.584897	0
795	1.635369	0	1.584813	0
796	1.635266	0	1.58473	0
797	1.635163	0	1.584646	0
798	1.635061	0	1.584563	0
799	1.634959	0	1.584481	0
800	1.634857	0	1.584398	0
801	1.634756	0	1.584315	0
802	1.634655	0	1.584233	0
803	1.634555	0	1.584151	0
804	1.634455	0	1.584069	0
805	1.634355	0	1.583987	0
806	1.634256	0	1.583906	0
807	1.634157	0	1.583824	0
808	1.634059	0	1.583743	0
809	1.633961	0	1.583662	0
810	1.633863	0	1.583581	0
811	1.633766	0	1.5835	0
812	1.63367	0	1.58342	0
813	1.633573	0	1.583339	0
814	1.633477	0	1.583259	0
815	1.633381	0	1.583179	0
816	1.633286	0	1.583099	0
817	1.633191	0	1.583019	0
818	1.633097	0	1.58294	0
819	1.633003	0	1.58286	0
820	1.632909	0	1.582781	0
821	1.632815	0	1.582702	0
822	1.632722	0	1.582623	0
823	1.63263	0	1.582544	0
824	1.632537	0	1.582466	0
825	1.632445	0	1.582387	0
826	1.632354	0	1.582309	0
827	1.632262	0	1.582231	0
828	1.632171	0	1.582153	0
829	1.632081	0	1.582075	0
830	1.63199	0	1.581997	0
831	1.631901	0	1.581919	0
832	1.631811	0	1.581842	0
833	1.631722	0	1.581764	0
834	1.631633	0	1.581687	0
835	1.631544	0	1.58161	0
836	1.631456	0	1.581533	0
837	1.631368	0	1.581456	0
838	1.63128	0	1.58138	0
839	1.631193	0	1.581303	0
840	1.631106	0	1.581227	0
841	1.631019	0	1.58115	0
842	1.630933	0	1.581074	0
843	1.630847	0	1.580998	0
844	1.630761	0	1.580922	0
845	1.630675	0	1.580847	0
846	1.63059	0	1.580771	0
847	1.630505	0	1.580695	0
848	1.630421	0	1.58062	0
849	1.630336	0	1.580545	0
850	1.630252	0	1.58047	0
851	1.630169	0	1.580395	0
852	1.630085	0	1.58032	0
853	1.630002	0	1.580245	0
854	1.629919	0	1.58017	0
855	1.629837	0	1.580096	0
856	1.629755	0	1.580021	0
857	1.629673	0	1.579947	0
858	1.629591	0	1.579872	0
859	1.62951	0	1.579798	0
860	1.629429	0	1.579724	0
861	1.629348	0	1.57965	0
862	1.629267	0	1.579576	0
863	1.629187	0	1.579503	0
864	1.629107	0	1.579429	0
865	1.629027	0	1.579356	0
866	1.628948	0	1.579282	0
867	1.628868	0	1.579209	0
868	1.628789	0	1.579136	0
869	1.628711	0	1.579063	0
870	1.628632	0	1.57899	0
871	1.628554	0	1.578917	0
872	1.628476	0	1.578844	0
873	1.628398	0	1.578771	0
874	1.628321	0	1.578699	0
875	1.628244	0	1.578626	0
876	1.628167	0	1.578554	0
877	1.62809	0	1.578482	0
878	1.628014	0	1.578409	0
879	1.627938	0	1.578337	0
880	1.627862	0	1.578265	0
881	1.627786	0	1.578193	0
882	1.627711	0	1.578121	0
883	1.627635	0	1.57805	0
884	1.62756	0	1.577978	0
885	1.627486	0	1.577906	0
886	1.627411	0	1.577835	0
887	1.627337	0	1.577764	0
888	1.627263	0	1.577692	0
889	1.627189	0	1.577621	0
890	1.627115	0	1.57755	0
891	1.627042	0	1.577479	0
892	1.626969	0	1.577408	0
893	1.626896	0	1.577337	0
894	1.626823	0	1.577266	0
895	1.626751	0	1.577195	0
896	1.626679	0	1.577124	0
897	1.626607	0	1.577054	0
898	1.626535	0	1.576983	0
899	1.626463	0	1.576913	0
900	1.626392	0	1.576843	0
901	1.626321	0	1.576772	0
902	1.62625	0	1.576702	0
903	1.626179	0	1.576632	0
904	1.626108	0	1.576562	0
905	1.626038	0	1.576492	0
906	1.625968	0	1.576422	0
907	1.625898	0	1.576352	0
908	1.625828	0	1.576282	0
909	1.625759	0	1.576213	0
910	1.62569	0	1.576143	0
911	1.62562	0	1.576073	0
912	1.625552	0	1.576004	0
913	1.625483	0	1.575934	0
914	1.625414	0	1.575865	0
915	1.625346	0	1.575796	0
916	1.625278	0	1.575726	0
917	1.62521	0	1.575657	0
918	1.625142	0	1.575588	0
919	1.625075	0	1.575519	0
920	1.625007	0	1.57545	0
921	1.62494	0	1.575381	0
922	1.624873	0	1.575312	0
923	1.624806	0	1.575243	0
924	1.62474	0	1.575175	0
925	1.624673	0	1.575106	0
926	1.624607	0	1.575037	0
927	1.624541	0	1.574969	0
928	1.624475	0	1.5749	0
929	1.624409	0	1.574832	0
930	1.624344	0	1.574764	0
931	1.624279	0	1.574695	0
932	1.624213	0	1.574627	0
933	1.624148	0	1.574559	0
934	1.624084	0	1.57449	0
935	1.624019	0	1.574422	0
936	1.623955	0	1.574354	0
937	1.62389	0	1.574286	0
938	1.623826	0	1.574218	0
939	1.623762	0	1.57415	0
940	1.623698	0	1.574082	0
941	1.623635	0	1.574015	0
942	1.623571	0	1.573947	0
943	1.623508	0	1.573879	0
944	1.623445	0	1.573812	0
945	1.623382	0	1.573744	0
946	1.623319	0	1.573676	0
947	1.623257	0	1.573609	0
948	1.623194	0	1.573541	0
949	1.623132	0	1.573474	0
950	1.62307	0	1.573407	0
951	1.623008	0	1.573339	0
952	1.622946	0	1.573272	0
953	1.622884	0	1.573205	0
954	1.622823	0	1.573138	0
955	1.622761	0	1.57307	0
956	1.6227	0	1.573003	0
957	1.622639	0	1.572936	0
958	1.622578	0	1.572869	0
959	1.622517	0	1.572802	0
960	1.622457	0	1.572735	0
961	1.622396	0	1.572668	0
962	1.622336	0	1.572601	0
963	1.622276	0	1.572535	0
964	1.622216	0	1.572468	0
965	1.622156	0	1.572401	0
966	1.622096	0	1.572334	0
967	1.622036	0	1.572268	0
968	1.621977	0	1.572201	0
969	1.621918	0	1.572134	0
